,ds,y
0,2020-03-20 00:00:00,57
1,2020-03-20 01:00:00,35
2,2020-03-20 02:00:00,29
3,2020-03-20 03:00:00,27
4,2020-03-20 04:00:00,27
5,2020-03-20 05:00:00,82
6,2020-03-20 06:00:00,113
7,2020-03-20 07:00:00,196
8,2020-03-20 08:00:00,239
9,2020-03-20 09:00:00,290
10,2020-03-20 10:00:00,309
11,2020-03-20 11:00:00,295
12,2020-03-20 12:00:00,316
13,2020-03-20 13:00:00,341
14,2020-03-20 14:00:00,353
15,2020-03-20 15:00:00,399
16,2020-03-20 16:00:00,418
17,2020-03-20 17:00:00,406
18,2020-03-20 18:00:00,324
19,2020-03-20 19:00:00,258
20,2020-03-20 20:00:00,201
21,2020-03-20 21:00:00,173
22,2020-03-20 22:00:00,127
23,2020-03-20 23:00:00,108
24,2020-03-21 00:00:00,67
25,2020-03-21 01:00:00,47
26,2020-03-21 02:00:00,23
27,2020-03-21 03:00:00,25
28,2020-03-21 04:00:00,43
29,2020-03-21 05:00:00,55
30,2020-03-21 06:00:00,62
31,2020-03-21 07:00:00,82
32,2020-03-21 08:00:00,117
33,2020-03-21 09:00:00,129
34,2020-03-21 10:00:00,205
35,2020-03-21 11:00:00,200
36,2020-03-21 12:00:00,213
37,2020-03-21 13:00:00,174
38,2020-03-21 14:00:00,223
39,2020-03-21 15:00:00,203
40,2020-03-21 16:00:00,192
41,2020-03-21 17:00:00,177
42,2020-03-21 18:00:00,146
43,2020-03-21 19:00:00,116
44,2020-03-21 20:00:00,125
45,2020-03-21 21:00:00,111
46,2020-03-21 22:00:00,89
47,2020-03-21 23:00:00,59
48,2020-03-22 00:00:00,56
49,2020-03-22 01:00:00,44
50,2020-03-22 02:00:00,24
51,2020-03-22 03:00:00,16
52,2020-03-22 04:00:00,15
53,2020-03-22 05:00:00,26
54,2020-03-22 06:00:00,34
55,2020-03-22 07:00:00,53
56,2020-03-22 08:00:00,37
57,2020-03-22 09:00:00,65
58,2020-03-22 10:00:00,70
59,2020-03-22 11:00:00,97
60,2020-03-22 12:00:00,84
61,2020-03-22 13:00:00,78
62,2020-03-22 14:00:00,112
63,2020-03-22 15:00:00,101
64,2020-03-22 16:00:00,99
65,2020-03-22 17:00:00,95
66,2020-03-22 18:00:00,92
67,2020-03-22 19:00:00,77
68,2020-03-22 20:00:00,77
69,2020-03-22 21:00:00,64
70,2020-03-22 22:00:00,73
71,2020-03-22 23:00:00,54
72,2020-03-23 00:00:00,51
73,2020-03-23 01:00:00,27
74,2020-03-23 02:00:00,18
75,2020-03-23 03:00:00,19
76,2020-03-23 04:00:00,39
77,2020-03-23 05:00:00,59
78,2020-03-23 06:00:00,64
79,2020-03-23 07:00:00,119
80,2020-03-23 08:00:00,139
81,2020-03-23 09:00:00,143
82,2020-03-23 10:00:00,174
83,2020-03-23 11:00:00,167
84,2020-03-23 12:00:00,166
85,2020-03-23 13:00:00,193
86,2020-03-23 14:00:00,177
87,2020-03-23 15:00:00,198
88,2020-03-23 16:00:00,193
89,2020-03-23 17:00:00,167
90,2020-03-23 18:00:00,126
91,2020-03-23 19:00:00,116
92,2020-03-23 20:00:00,97
93,2020-03-23 21:00:00,69
94,2020-03-23 22:00:00,57
95,2020-03-23 23:00:00,58
96,2020-03-24 00:00:00,38
97,2020-03-24 01:00:00,25
98,2020-03-24 02:00:00,16
99,2020-03-24 03:00:00,19
100,2020-03-24 04:00:00,29
101,2020-03-24 05:00:00,54
102,2020-03-24 06:00:00,80
103,2020-03-24 07:00:00,93
104,2020-03-24 08:00:00,134
105,2020-03-24 09:00:00,135
106,2020-03-24 10:00:00,163
107,2020-03-24 11:00:00,165
108,2020-03-24 12:00:00,162
109,2020-03-24 13:00:00,171
110,2020-03-24 14:00:00,197
111,2020-03-24 15:00:00,195
112,2020-03-24 16:00:00,171
113,2020-03-24 17:00:00,148
114,2020-03-24 18:00:00,124
115,2020-03-24 19:00:00,109
116,2020-03-24 20:00:00,78
117,2020-03-24 21:00:00,52
118,2020-03-24 22:00:00,51
119,2020-03-24 23:00:00,40
120,2020-03-25 00:00:00,29
121,2020-03-25 01:00:00,33
122,2020-03-25 02:00:00,23
123,2020-03-25 03:00:00,20
124,2020-03-25 04:00:00,32
125,2020-03-25 05:00:00,47
126,2020-03-25 06:00:00,64
127,2020-03-25 07:00:00,104
128,2020-03-25 08:00:00,122
129,2020-03-25 09:00:00,128
130,2020-03-25 10:00:00,157
131,2020-03-25 11:00:00,138
132,2020-03-25 12:00:00,158
133,2020-03-25 13:00:00,163
134,2020-03-25 14:00:00,188
135,2020-03-25 15:00:00,192
136,2020-03-25 16:00:00,172
137,2020-03-25 17:00:00,151
138,2020-03-25 18:00:00,138
139,2020-03-25 19:00:00,93
140,2020-03-25 20:00:00,77
141,2020-03-25 21:00:00,62
142,2020-03-25 22:00:00,46
143,2020-03-25 23:00:00,45
144,2020-03-26 00:00:00,41
145,2020-03-26 01:00:00,23
146,2020-03-26 02:00:00,15
147,2020-03-26 03:00:00,18
148,2020-03-26 04:00:00,34
149,2020-03-26 05:00:00,40
150,2020-03-26 06:00:00,59
151,2020-03-26 07:00:00,104
152,2020-03-26 08:00:00,139
153,2020-03-26 09:00:00,144
154,2020-03-26 10:00:00,174
155,2020-03-26 11:00:00,143
156,2020-03-26 12:00:00,156
157,2020-03-26 13:00:00,168
158,2020-03-26 14:00:00,202
159,2020-03-26 15:00:00,207
160,2020-03-26 16:00:00,180
161,2020-03-26 17:00:00,189
162,2020-03-26 18:00:00,135
163,2020-03-26 19:00:00,98
164,2020-03-26 20:00:00,78
165,2020-03-26 21:00:00,52
166,2020-03-26 22:00:00,39
167,2020-03-26 23:00:00,52
168,2020-03-27 00:00:00,48
169,2020-03-27 01:00:00,29
170,2020-03-27 02:00:00,23
171,2020-03-27 03:00:00,20
172,2020-03-27 04:00:00,32
173,2020-03-27 05:00:00,42
174,2020-03-27 06:00:00,75
175,2020-03-27 07:00:00,93
176,2020-03-27 08:00:00,134
177,2020-03-27 09:00:00,134
178,2020-03-27 10:00:00,168
179,2020-03-27 11:00:00,165
180,2020-03-27 12:00:00,145
181,2020-03-27 13:00:00,169
182,2020-03-27 14:00:00,177
183,2020-03-27 15:00:00,179
184,2020-03-27 16:00:00,211
185,2020-03-27 17:00:00,190
186,2020-03-27 18:00:00,132
187,2020-03-27 19:00:00,106
188,2020-03-27 20:00:00,84
189,2020-03-27 21:00:00,63
190,2020-03-27 22:00:00,60
191,2020-03-27 23:00:00,58
192,2020-03-28 00:00:00,40
193,2020-03-28 01:00:00,40
194,2020-03-28 02:00:00,20
195,2020-03-28 03:00:00,18
196,2020-03-28 04:00:00,25
197,2020-03-28 05:00:00,30
198,2020-03-28 06:00:00,50
199,2020-03-28 07:00:00,47
200,2020-03-28 08:00:00,55
201,2020-03-28 09:00:00,71
202,2020-03-28 10:00:00,99
203,2020-03-28 11:00:00,99
204,2020-03-28 12:00:00,99
205,2020-03-28 13:00:00,102
206,2020-03-28 14:00:00,112
207,2020-03-28 15:00:00,115
208,2020-03-28 16:00:00,107
209,2020-03-28 17:00:00,103
210,2020-03-28 18:00:00,75
211,2020-03-28 19:00:00,49
212,2020-03-28 20:00:00,76
213,2020-03-28 21:00:00,68
214,2020-03-28 22:00:00,61
215,2020-03-28 23:00:00,45
216,2020-03-29 00:00:00,30
217,2020-03-29 01:00:00,15
218,2020-03-29 02:00:00,14
219,2020-03-29 03:00:00,16
220,2020-03-29 04:00:00,18
221,2020-03-29 05:00:00,24
222,2020-03-29 06:00:00,33
223,2020-03-29 07:00:00,45
224,2020-03-29 08:00:00,50
225,2020-03-29 09:00:00,56
226,2020-03-29 10:00:00,68
227,2020-03-29 11:00:00,74
228,2020-03-29 12:00:00,66
229,2020-03-29 13:00:00,75
230,2020-03-29 14:00:00,78
231,2020-03-29 15:00:00,88
232,2020-03-29 16:00:00,82
233,2020-03-29 17:00:00,69
234,2020-03-29 18:00:00,62
235,2020-03-29 19:00:00,53
236,2020-03-29 20:00:00,70
237,2020-03-29 21:00:00,57
238,2020-03-29 22:00:00,42
239,2020-03-29 23:00:00,41
240,2020-03-30 00:00:00,32
241,2020-03-30 01:00:00,18
242,2020-03-30 02:00:00,21
243,2020-03-30 03:00:00,19
244,2020-03-30 04:00:00,34
245,2020-03-30 05:00:00,44
246,2020-03-30 06:00:00,63
247,2020-03-30 07:00:00,82
248,2020-03-30 08:00:00,112
249,2020-03-30 09:00:00,127
250,2020-03-30 10:00:00,163
251,2020-03-30 11:00:00,159
252,2020-03-30 12:00:00,167
253,2020-03-30 13:00:00,177
254,2020-03-30 14:00:00,181
255,2020-03-30 15:00:00,173
256,2020-03-30 16:00:00,186
257,2020-03-30 17:00:00,145
258,2020-03-30 18:00:00,107
259,2020-03-30 19:00:00,73
260,2020-03-30 20:00:00,83
261,2020-03-30 21:00:00,57
262,2020-03-30 22:00:00,51
263,2020-03-30 23:00:00,39
264,2020-03-31 00:00:00,35
265,2020-03-31 01:00:00,18
266,2020-03-31 02:00:00,14
267,2020-03-31 03:00:00,14
268,2020-03-31 04:00:00,21
269,2020-03-31 05:00:00,31
270,2020-03-31 06:00:00,52
271,2020-03-31 07:00:00,80
272,2020-03-31 08:00:00,120
273,2020-03-31 09:00:00,113
274,2020-03-31 10:00:00,143
275,2020-03-31 11:00:00,139
276,2020-03-31 12:00:00,139
277,2020-03-31 13:00:00,143
278,2020-03-31 14:00:00,149
279,2020-03-31 15:00:00,146
280,2020-03-31 16:00:00,172
281,2020-03-31 17:00:00,149
282,2020-03-31 18:00:00,104
283,2020-03-31 19:00:00,81
284,2020-03-31 20:00:00,90
285,2020-03-31 21:00:00,63
286,2020-03-31 22:00:00,54
287,2020-03-31 23:00:00,55
288,2020-04-01 00:00:00,36
289,2020-04-01 01:00:00,25
290,2020-04-01 02:00:00,14
291,2020-04-01 03:00:00,18
292,2020-04-01 04:00:00,29
293,2020-04-01 05:00:00,47
294,2020-04-01 06:00:00,68
295,2020-04-01 07:00:00,84
296,2020-04-01 08:00:00,120
297,2020-04-01 09:00:00,158
298,2020-04-01 10:00:00,163
299,2020-04-01 11:00:00,173
300,2020-04-01 12:00:00,198
301,2020-04-01 13:00:00,177
302,2020-04-01 14:00:00,176
303,2020-04-01 15:00:00,204
304,2020-04-01 16:00:00,163
305,2020-04-01 17:00:00,167
306,2020-04-01 18:00:00,122
307,2020-04-01 19:00:00,86
308,2020-04-01 20:00:00,81
309,2020-04-01 21:00:00,58
310,2020-04-01 22:00:00,60
311,2020-04-01 23:00:00,40
312,2020-04-02 00:00:00,37
313,2020-04-02 01:00:00,21
314,2020-04-02 02:00:00,8
315,2020-04-02 03:00:00,22
316,2020-04-02 04:00:00,27
317,2020-04-02 05:00:00,39
318,2020-04-02 06:00:00,64
319,2020-04-02 07:00:00,76
320,2020-04-02 08:00:00,106
321,2020-04-02 09:00:00,130
322,2020-04-02 10:00:00,136
323,2020-04-02 11:00:00,145
324,2020-04-02 12:00:00,166
325,2020-04-02 13:00:00,167
326,2020-04-02 14:00:00,177
327,2020-04-02 15:00:00,175
328,2020-04-02 16:00:00,131
329,2020-04-02 17:00:00,156
330,2020-04-02 18:00:00,143
331,2020-04-02 19:00:00,94
332,2020-04-02 20:00:00,76
333,2020-04-02 21:00:00,62
334,2020-04-02 22:00:00,42
335,2020-04-02 23:00:00,46
336,2020-04-03 00:00:00,37
337,2020-04-03 01:00:00,25
338,2020-04-03 02:00:00,20
339,2020-04-03 03:00:00,22
340,2020-04-03 04:00:00,23
341,2020-04-03 05:00:00,33
342,2020-04-03 06:00:00,62
343,2020-04-03 07:00:00,88
344,2020-04-03 08:00:00,120
345,2020-04-03 09:00:00,129
346,2020-04-03 10:00:00,176
347,2020-04-03 11:00:00,198
348,2020-04-03 12:00:00,164
349,2020-04-03 13:00:00,194
350,2020-04-03 14:00:00,202
351,2020-04-03 15:00:00,212
352,2020-04-03 16:00:00,176
353,2020-04-03 17:00:00,169
354,2020-04-03 18:00:00,132
355,2020-04-03 19:00:00,121
356,2020-04-03 20:00:00,89
357,2020-04-03 21:00:00,52
358,2020-04-03 22:00:00,55
359,2020-04-03 23:00:00,60
360,2020-04-04 00:00:00,45
361,2020-04-04 01:00:00,28
362,2020-04-04 02:00:00,12
363,2020-04-04 03:00:00,8
364,2020-04-04 04:00:00,24
365,2020-04-04 05:00:00,27
366,2020-04-04 06:00:00,47
367,2020-04-04 07:00:00,50
368,2020-04-04 08:00:00,61
369,2020-04-04 09:00:00,82
370,2020-04-04 10:00:00,122
371,2020-04-04 11:00:00,134
372,2020-04-04 12:00:00,127
373,2020-04-04 13:00:00,127
374,2020-04-04 14:00:00,126
375,2020-04-04 15:00:00,133
376,2020-04-04 16:00:00,114
377,2020-04-04 17:00:00,96
378,2020-04-04 18:00:00,83
379,2020-04-04 19:00:00,63
380,2020-04-04 20:00:00,61
381,2020-04-04 21:00:00,68
382,2020-04-04 22:00:00,60
383,2020-04-04 23:00:00,47
384,2020-04-05 00:00:00,32
385,2020-04-05 01:00:00,23
386,2020-04-05 02:00:00,15
387,2020-04-05 03:00:00,11
388,2020-04-05 04:00:00,13
389,2020-04-05 05:00:00,14
390,2020-04-05 06:00:00,28
391,2020-04-05 07:00:00,41
392,2020-04-05 08:00:00,62
393,2020-04-05 09:00:00,59
394,2020-04-05 10:00:00,63
395,2020-04-05 11:00:00,72
396,2020-04-05 12:00:00,67
397,2020-04-05 13:00:00,62
398,2020-04-05 14:00:00,92
399,2020-04-05 15:00:00,90
400,2020-04-05 16:00:00,112
401,2020-04-05 17:00:00,71
402,2020-04-05 18:00:00,63
403,2020-04-05 19:00:00,59
404,2020-04-05 20:00:00,64
405,2020-04-05 21:00:00,50
406,2020-04-05 22:00:00,48
407,2020-04-05 23:00:00,59
408,2020-04-06 00:00:00,37
409,2020-04-06 01:00:00,30
410,2020-04-06 02:00:00,10
411,2020-04-06 03:00:00,20
412,2020-04-06 04:00:00,31
413,2020-04-06 05:00:00,39
414,2020-04-06 06:00:00,54
