,ds,timeframe,y
0,2020-03-20 00:00:00,Historical Data,57.0
1,2020-03-20 01:00:00,Historical Data,35.0
2,2020-03-20 02:00:00,Historical Data,29.0
3,2020-03-20 03:00:00,Historical Data,27.0
4,2020-03-20 04:00:00,Historical Data,27.0
5,2020-03-20 05:00:00,Historical Data,82.0
6,2020-03-20 06:00:00,Historical Data,113.0
7,2020-03-20 07:00:00,Historical Data,196.0
8,2020-03-20 08:00:00,Historical Data,239.0
9,2020-03-20 09:00:00,Historical Data,290.0
10,2020-03-20 10:00:00,Historical Data,309.0
11,2020-03-20 11:00:00,Historical Data,295.0
12,2020-03-20 12:00:00,Historical Data,316.0
13,2020-03-20 13:00:00,Historical Data,341.0
14,2020-03-20 14:00:00,Historical Data,353.0
15,2020-03-20 15:00:00,Historical Data,399.0
16,2020-03-20 16:00:00,Historical Data,418.0
17,2020-03-20 17:00:00,Historical Data,406.0
18,2020-03-20 18:00:00,Historical Data,324.0
19,2020-03-20 19:00:00,Historical Data,258.0
20,2020-03-20 20:00:00,Historical Data,201.0
21,2020-03-20 21:00:00,Historical Data,173.0
22,2020-03-20 22:00:00,Historical Data,127.0
23,2020-03-20 23:00:00,Historical Data,108.0
24,2020-03-21 00:00:00,Historical Data,67.0
25,2020-03-21 01:00:00,Historical Data,47.0
26,2020-03-21 02:00:00,Historical Data,23.0
27,2020-03-21 03:00:00,Historical Data,25.0
28,2020-03-21 04:00:00,Historical Data,43.0
29,2020-03-21 05:00:00,Historical Data,55.0
30,2020-03-21 06:00:00,Historical Data,62.0
31,2020-03-21 07:00:00,Historical Data,82.0
32,2020-03-21 08:00:00,Historical Data,117.0
33,2020-03-21 09:00:00,Historical Data,129.0
34,2020-03-21 10:00:00,Historical Data,205.0
35,2020-03-21 11:00:00,Historical Data,200.0
36,2020-03-21 12:00:00,Historical Data,213.0
37,2020-03-21 13:00:00,Historical Data,174.0
38,2020-03-21 14:00:00,Historical Data,223.0
39,2020-03-21 15:00:00,Historical Data,203.0
40,2020-03-21 16:00:00,Historical Data,192.0
41,2020-03-21 17:00:00,Historical Data,177.0
42,2020-03-21 18:00:00,Historical Data,146.0
43,2020-03-21 19:00:00,Historical Data,116.0
44,2020-03-21 20:00:00,Historical Data,125.0
45,2020-03-21 21:00:00,Historical Data,111.0
46,2020-03-21 22:00:00,Historical Data,89.0
47,2020-03-21 23:00:00,Historical Data,59.0
48,2020-03-22 00:00:00,Historical Data,56.0
49,2020-03-22 01:00:00,Historical Data,44.0
50,2020-03-22 02:00:00,Historical Data,24.0
51,2020-03-22 03:00:00,Historical Data,16.0
52,2020-03-22 04:00:00,Historical Data,15.0
53,2020-03-22 05:00:00,Historical Data,26.0
54,2020-03-22 06:00:00,Historical Data,34.0
55,2020-03-22 07:00:00,Historical Data,53.0
56,2020-03-22 08:00:00,Historical Data,37.0
57,2020-03-22 09:00:00,Historical Data,65.0
58,2020-03-22 10:00:00,Historical Data,70.0
59,2020-03-22 11:00:00,Historical Data,97.0
60,2020-03-22 12:00:00,Historical Data,84.0
61,2020-03-22 13:00:00,Historical Data,78.0
62,2020-03-22 14:00:00,Historical Data,112.0
63,2020-03-22 15:00:00,Historical Data,101.0
64,2020-03-22 16:00:00,Historical Data,99.0
65,2020-03-22 17:00:00,Historical Data,95.0
66,2020-03-22 18:00:00,Historical Data,92.0
67,2020-03-22 19:00:00,Historical Data,77.0
68,2020-03-22 20:00:00,Historical Data,77.0
69,2020-03-22 21:00:00,Historical Data,64.0
70,2020-03-22 22:00:00,Historical Data,73.0
71,2020-03-22 23:00:00,Historical Data,54.0
72,2020-03-23 00:00:00,Historical Data,51.0
73,2020-03-23 01:00:00,Historical Data,27.0
74,2020-03-23 02:00:00,Historical Data,18.0
75,2020-03-23 03:00:00,Historical Data,19.0
76,2020-03-23 04:00:00,Historical Data,39.0
77,2020-03-23 05:00:00,Historical Data,59.0
78,2020-03-23 06:00:00,Historical Data,64.0
79,2020-03-23 07:00:00,Historical Data,119.0
80,2020-03-23 08:00:00,Historical Data,139.0
81,2020-03-23 09:00:00,Historical Data,143.0
82,2020-03-23 10:00:00,Historical Data,174.0
83,2020-03-23 11:00:00,Historical Data,167.0
84,2020-03-23 12:00:00,Historical Data,166.0
85,2020-03-23 13:00:00,Historical Data,193.0
86,2020-03-23 14:00:00,Historical Data,177.0
87,2020-03-23 15:00:00,Historical Data,198.0
88,2020-03-23 16:00:00,Historical Data,193.0
89,2020-03-23 17:00:00,Historical Data,167.0
90,2020-03-23 18:00:00,Historical Data,126.0
91,2020-03-23 19:00:00,Historical Data,116.0
92,2020-03-23 20:00:00,Historical Data,97.0
93,2020-03-23 21:00:00,Historical Data,69.0
94,2020-03-23 22:00:00,Historical Data,57.0
95,2020-03-23 23:00:00,Historical Data,58.0
96,2020-03-24 00:00:00,Historical Data,38.0
97,2020-03-24 01:00:00,Historical Data,25.0
98,2020-03-24 02:00:00,Historical Data,16.0
99,2020-03-24 03:00:00,Historical Data,19.0
100,2020-03-24 04:00:00,Historical Data,29.0
101,2020-03-24 05:00:00,Historical Data,54.0
102,2020-03-24 06:00:00,Historical Data,80.0
103,2020-03-24 07:00:00,Historical Data,93.0
104,2020-03-24 08:00:00,Historical Data,134.0
105,2020-03-24 09:00:00,Historical Data,135.0
106,2020-03-24 10:00:00,Historical Data,163.0
